Date,Month,Day,Year,Day of Week,Hour,Primary Type,Description,Crime Category
03/31/2020 11:55:00 PM,March,31,2020,Tuesday,23,BATTERY,AGGRAVATED - HANDGUN,Violent
03/31/2020 11:47:00 PM,March,31,2020,Tuesday,23,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,Public Order
03/31/2020 11:45:00 PM,March,31,2020,Tuesday,23,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 11:42:00 PM,March,31,2020,Tuesday,23,ROBBERY,AGGRAVATED,Violent
03/31/2020 11:40:00 PM,March,31,2020,Tuesday,23,ROBBERY,AGGRAVATED,Violent
03/31/2020 11:30:00 PM,March,31,2020,Tuesday,23,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,Violent
03/31/2020 11:22:00 PM,March,31,2020,Tuesday,23,BATTERY,AGGRAVATED - HANDGUN,Violent
03/31/2020 11:16:00 PM,March,31,2020,Tuesday,23,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 11:10:00 PM,March,31,2020,Tuesday,23,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 11:09:00 PM,March,31,2020,Tuesday,23,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 11:03:00 PM,March,31,2020,Tuesday,23,BATTERY,SIMPLE,Violent
03/31/2020 11:00:00 PM,March,31,2020,Tuesday,23,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 11:00:00 PM,March,31,2020,Tuesday,23,OTHER OFFENSE,HARASSMENT BY TELEPHONE,Other
03/31/2020 11:00:00 PM,March,31,2020,Tuesday,23,THEFT,$500 AND UNDER,Property
03/31/2020 11:00:00 PM,March,31,2020,Tuesday,23,THEFT,POCKET-PICKING,Property
03/31/2020 11:00:00 PM,March,31,2020,Tuesday,23,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,Violent
03/31/2020 11:00:00 PM,March,31,2020,Tuesday,23,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 10:57:00 PM,March,31,2020,Tuesday,22,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",Violent
03/31/2020 10:48:00 PM,March,31,2020,Tuesday,22,THEFT,FROM BUILDING,Property
03/31/2020 10:48:00 PM,March,31,2020,Tuesday,22,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,Property
03/31/2020 10:45:00 PM,March,31,2020,Tuesday,22,ASSAULT,SIMPLE,Violent
03/31/2020 10:45:00 PM,March,31,2020,Tuesday,22,THEFT,RETAIL THEFT,Property
03/31/2020 10:45:00 PM,March,31,2020,Tuesday,22,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 10:44:00 PM,March,31,2020,Tuesday,22,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 10:30:00 PM,March,31,2020,Tuesday,22,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 10:30:00 PM,March,31,2020,Tuesday,22,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 10:30:00 PM,March,31,2020,Tuesday,22,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,Property
03/31/2020 10:30:00 PM,March,31,2020,Tuesday,22,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,Violent
03/31/2020 10:30:00 PM,March,31,2020,Tuesday,22,THEFT,RETAIL THEFT,Property
03/31/2020 10:30:00 PM,March,31,2020,Tuesday,22,ASSAULT,SIMPLE,Violent
03/31/2020 10:25:00 PM,March,31,2020,Tuesday,22,ASSAULT,SIMPLE,Violent
03/31/2020 10:23:00 PM,March,31,2020,Tuesday,22,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 10:15:00 PM,March,31,2020,Tuesday,22,THEFT,OVER $500,Property
03/31/2020 10:13:00 PM,March,31,2020,Tuesday,22,OTHER OFFENSE,TELEPHONE THREAT,Other
03/31/2020 10:12:00 PM,March,31,2020,Tuesday,22,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 10:10:00 PM,March,31,2020,Tuesday,22,THEFT,$500 AND UNDER,Property
03/31/2020 10:10:00 PM,March,31,2020,Tuesday,22,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,Other
03/31/2020 10:05:00 PM,March,31,2020,Tuesday,22,ASSAULT,AGGRAVATED - HANDGUN,Violent
03/31/2020 10:02:00 PM,March,31,2020,Tuesday,22,ROBBERY,ARMED - HANDGUN,Violent
03/31/2020 10:00:00 PM,March,31,2020,Tuesday,22,THEFT,$500 AND UNDER,Property
03/31/2020 10:00:00 PM,March,31,2020,Tuesday,22,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 10:00:00 PM,March,31,2020,Tuesday,22,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 10:00:00 PM,March,31,2020,Tuesday,22,OTHER OFFENSE,HARASSMENT BY TELEPHONE,Other
03/31/2020 10:00:00 PM,March,31,2020,Tuesday,22,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,Property
03/31/2020 10:00:00 PM,March,31,2020,Tuesday,22,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 9:57:00 PM,March,31,2020,Tuesday,21,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 9:56:00 PM,March,31,2020,Tuesday,21,BATTERY,SIMPLE,Violent
03/31/2020 9:50:00 PM,March,31,2020,Tuesday,21,ASSAULT,AGGRAVATED - HANDGUN,Violent
03/31/2020 9:45:00 PM,March,31,2020,Tuesday,21,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 9:45:00 PM,March,31,2020,Tuesday,21,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 9:35:00 PM,March,31,2020,Tuesday,21,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 9:35:00 PM,March,31,2020,Tuesday,21,THEFT,$500 AND UNDER,Property
03/31/2020 9:35:00 PM,March,31,2020,Tuesday,21,BATTERY,SIMPLE,Violent
03/31/2020 9:19:00 PM,March,31,2020,Tuesday,21,CRIMINAL TRESPASS,TO RESIDENCE,Property
03/31/2020 9:09:00 PM,March,31,2020,Tuesday,21,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 9:09:00 PM,March,31,2020,Tuesday,21,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 9:05:00 PM,March,31,2020,Tuesday,21,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 9:00:00 PM,March,31,2020,Tuesday,21,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 9:00:00 PM,March,31,2020,Tuesday,21,CRIMINAL TRESPASS,TO RESIDENCE,Property
03/31/2020 9:00:00 PM,March,31,2020,Tuesday,21,INTIMIDATION,EXTORTION,Violent
03/31/2020 9:00:00 PM,March,31,2020,Tuesday,21,BATTERY,SIMPLE,Violent
03/31/2020 9:00:00 PM,March,31,2020,Tuesday,21,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 8:57:00 PM,March,31,2020,Tuesday,20,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 8:50:00 PM,March,31,2020,Tuesday,20,BATTERY,SIMPLE,Violent
03/31/2020 8:50:00 PM,March,31,2020,Tuesday,20,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 8:48:00 PM,March,31,2020,Tuesday,20,BATTERY,SIMPLE,Violent
03/31/2020 8:46:00 PM,March,31,2020,Tuesday,20,ASSAULT,SIMPLE,Violent
03/31/2020 8:40:00 PM,March,31,2020,Tuesday,20,BATTERY,SIMPLE,Violent
03/31/2020 8:38:00 PM,March,31,2020,Tuesday,20,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,Public Order
03/31/2020 8:35:00 PM,March,31,2020,Tuesday,20,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 8:30:00 PM,March,31,2020,Tuesday,20,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 8:30:00 PM,March,31,2020,Tuesday,20,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 8:25:00 PM,March,31,2020,Tuesday,20,ASSAULT,SIMPLE,Violent
03/31/2020 8:25:00 PM,March,31,2020,Tuesday,20,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 8:23:00 PM,March,31,2020,Tuesday,20,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,Violent
03/31/2020 8:22:00 PM,March,31,2020,Tuesday,20,THEFT,ATTEMPT THEFT,Property
03/31/2020 8:20:00 PM,March,31,2020,Tuesday,20,OTHER OFFENSE,HARASSMENT BY TELEPHONE,Other
03/31/2020 8:15:00 PM,March,31,2020,Tuesday,20,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 8:15:00 PM,March,31,2020,Tuesday,20,BATTERY,AGGRAVATED - HANDGUN,Violent
03/31/2020 8:10:00 PM,March,31,2020,Tuesday,20,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,Other
03/31/2020 8:10:00 PM,March,31,2020,Tuesday,20,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,Violent
03/31/2020 8:00:00 PM,March,31,2020,Tuesday,20,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,Property
03/31/2020 8:00:00 PM,March,31,2020,Tuesday,20,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 8:00:00 PM,March,31,2020,Tuesday,20,THEFT,FROM BUILDING,Property
03/31/2020 8:00:00 PM,March,31,2020,Tuesday,20,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 8:00:00 PM,March,31,2020,Tuesday,20,THEFT,$500 AND UNDER,Property
03/31/2020 8:00:00 PM,March,31,2020,Tuesday,20,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 7:24:00 PM,March,31,2020,Tuesday,19,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 7:20:00 PM,March,31,2020,Tuesday,19,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 7:15:00 PM,March,31,2020,Tuesday,19,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 7:07:00 PM,March,31,2020,Tuesday,19,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,Violent
03/31/2020 7:00:00 PM,March,31,2020,Tuesday,19,ASSAULT,SIMPLE,Violent
03/31/2020 7:00:00 PM,March,31,2020,Tuesday,19,PUBLIC PEACE VIOLATION,LOOTING,Public Order
03/31/2020 7:00:00 PM,March,31,2020,Tuesday,19,THEFT,OVER $500,Property
03/31/2020 7:00:00 PM,March,31,2020,Tuesday,19,THEFT,$500 AND UNDER,Property
03/31/2020 7:00:00 PM,March,31,2020,Tuesday,19,THEFT,$500 AND UNDER,Property
03/31/2020 7:00:00 PM,March,31,2020,Tuesday,19,THEFT,$500 AND UNDER,Property
03/31/2020 6:52:00 PM,March,31,2020,Tuesday,18,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 6:50:00 PM,March,31,2020,Tuesday,18,OTHER OFFENSE,OTHER VEHICLE OFFENSE,Other
03/31/2020 6:50:00 PM,March,31,2020,Tuesday,18,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,Violent
03/31/2020 6:47:00 PM,March,31,2020,Tuesday,18,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 6:45:00 PM,March,31,2020,Tuesday,18,THEFT,$500 AND UNDER,Property
03/31/2020 6:43:00 PM,March,31,2020,Tuesday,18,NARCOTICS,MANUFACTURE / DELIVER - CRACK,Drug
03/31/2020 6:41:00 PM,March,31,2020,Tuesday,18,ASSAULT,SIMPLE,Violent
03/31/2020 6:35:00 PM,March,31,2020,Tuesday,18,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,Other
03/31/2020 6:30:00 PM,March,31,2020,Tuesday,18,ASSAULT,SIMPLE,Violent
03/31/2020 6:30:00 PM,March,31,2020,Tuesday,18,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 6:25:00 PM,March,31,2020,Tuesday,18,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",Violent
03/31/2020 6:22:00 PM,March,31,2020,Tuesday,18,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 6:12:00 PM,March,31,2020,Tuesday,18,BATTERY,SIMPLE,Violent
03/31/2020 6:10:00 PM,March,31,2020,Tuesday,18,CRIMINAL TRESPASS,TO RESIDENCE,Property
03/31/2020 6:05:00 PM,March,31,2020,Tuesday,18,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,Violent
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,Property
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,Violent
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,THEFT,OVER $500,Property
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,CRIMINAL TRESPASS,TO LAND,Property
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,ASSAULT,SIMPLE,Violent
03/31/2020 6:00:00 PM,March,31,2020,Tuesday,18,THEFT,$500 AND UNDER,Property
03/31/2020 5:59:00 PM,March,31,2020,Tuesday,17,SEX OFFENSE,ATTEMPT CRIMINAL SEXUAL ABUSE,Violent
03/31/2020 5:56:00 PM,March,31,2020,Tuesday,17,BATTERY,SIMPLE,Violent
03/31/2020 5:45:00 PM,March,31,2020,Tuesday,17,THEFT,$500 AND UNDER,Property
03/31/2020 5:45:00 PM,March,31,2020,Tuesday,17,THEFT,OVER $500,Property
03/31/2020 5:42:00 PM,March,31,2020,Tuesday,17,THEFT,OVER $500,Property
03/31/2020 5:40:00 PM,March,31,2020,Tuesday,17,THEFT,OVER $500,Property
03/31/2020 5:40:00 PM,March,31,2020,Tuesday,17,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,Property
03/31/2020 5:30:00 PM,March,31,2020,Tuesday,17,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 5:20:00 PM,March,31,2020,Tuesday,17,THEFT,RETAIL THEFT,Property
03/31/2020 5:12:00 PM,March,31,2020,Tuesday,17,OTHER OFFENSE,TELEPHONE THREAT,Other
03/31/2020 5:12:00 PM,March,31,2020,Tuesday,17,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 5:11:00 PM,March,31,2020,Tuesday,17,THEFT,OVER $500,Property
03/31/2020 5:10:00 PM,March,31,2020,Tuesday,17,THEFT,$500 AND UNDER,Property
03/31/2020 5:00:00 PM,March,31,2020,Tuesday,17,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,Property
03/31/2020 5:00:00 PM,March,31,2020,Tuesday,17,THEFT,OVER $500,Property
03/31/2020 5:00:00 PM,March,31,2020,Tuesday,17,ASSAULT,SIMPLE,Violent
03/31/2020 5:00:00 PM,March,31,2020,Tuesday,17,THEFT,$500 AND UNDER,Property
03/31/2020 5:00:00 PM,March,31,2020,Tuesday,17,ASSAULT,SIMPLE,Violent
03/31/2020 5:00:00 PM,March,31,2020,Tuesday,17,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 4:50:00 PM,March,31,2020,Tuesday,16,ROBBERY,ARMED - HANDGUN,Violent
03/31/2020 4:45:00 PM,March,31,2020,Tuesday,16,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 4:40:00 PM,March,31,2020,Tuesday,16,THEFT,RETAIL THEFT,Property
03/31/2020 4:33:00 PM,March,31,2020,Tuesday,16,ASSAULT,SIMPLE,Violent
03/31/2020 4:30:00 PM,March,31,2020,Tuesday,16,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 4:30:00 PM,March,31,2020,Tuesday,16,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,Property
03/31/2020 4:30:00 PM,March,31,2020,Tuesday,16,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,Property
03/31/2020 4:21:00 PM,March,31,2020,Tuesday,16,ROBBERY,ARMED - HANDGUN,Violent
03/31/2020 4:20:00 PM,March,31,2020,Tuesday,16,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 4:15:00 PM,March,31,2020,Tuesday,16,THEFT,OVER $500,Property
03/31/2020 4:15:00 PM,March,31,2020,Tuesday,16,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,Other
03/31/2020 4:15:00 PM,March,31,2020,Tuesday,16,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 4:13:00 PM,March,31,2020,Tuesday,16,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",Violent
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,THEFT,OVER $500,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,THEFT,OVER $500,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,THEFT,$500 AND UNDER,Property
03/31/2020 4:00:00 PM,March,31,2020,Tuesday,16,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,Property
03/31/2020 3:59:00 PM,March,31,2020,Tuesday,15,ROBBERY,STRONG ARM - NO WEAPON,Violent
03/31/2020 3:57:00 PM,March,31,2020,Tuesday,15,THEFT,RETAIL THEFT,Property
03/31/2020 3:55:00 PM,March,31,2020,Tuesday,15,ASSAULT,SIMPLE,Violent
03/31/2020 3:52:00 PM,March,31,2020,Tuesday,15,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 3:35:00 PM,March,31,2020,Tuesday,15,NARCOTICS,POSSESS - CRACK,Drug
03/31/2020 3:34:00 PM,March,31,2020,Tuesday,15,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,Public Order
03/31/2020 3:30:00 PM,March,31,2020,Tuesday,15,ASSAULT,SIMPLE,Violent
03/31/2020 3:30:00 PM,March,31,2020,Tuesday,15,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 3:30:00 PM,March,31,2020,Tuesday,15,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,Property
03/31/2020 3:30:00 PM,March,31,2020,Tuesday,15,THEFT,RETAIL THEFT,Property
03/31/2020 3:26:00 PM,March,31,2020,Tuesday,15,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 3:25:00 PM,March,31,2020,Tuesday,15,PUBLIC PEACE VIOLATION,OTHER VIOLATION,Public Order
03/31/2020 3:21:00 PM,March,31,2020,Tuesday,15,ASSAULT,SIMPLE,Violent
03/31/2020 3:18:00 PM,March,31,2020,Tuesday,15,THEFT,$500 AND UNDER,Property
03/31/2020 3:15:00 PM,March,31,2020,Tuesday,15,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 3:15:00 PM,March,31,2020,Tuesday,15,ROBBERY,ATTEMPT ARMED - HANDGUN,Violent
03/31/2020 3:15:00 PM,March,31,2020,Tuesday,15,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,Violent
03/31/2020 3:10:00 PM,March,31,2020,Tuesday,15,THEFT,FROM BUILDING,Property
03/31/2020 3:10:00 PM,March,31,2020,Tuesday,15,MOTOR VEHICLE THEFT,AUTOMOBILE,Property
03/31/2020 3:06:00 PM,March,31,2020,Tuesday,15,ASSAULT,AGGRAVATED - HANDGUN,Violent
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,PUBLIC PEACE VIOLATION,LOOTING,Public Order
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,THEFT,FROM BUILDING,Property
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,Property
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,THEFT,FROM BUILDING,Property
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,Violent
03/31/2020 3:00:00 PM,March,31,2020,Tuesday,15,THEFT,OVER $500,Property
03/31/2020 2:58:00 PM,March,31,2020,Tuesday,14,BATTERY,SIMPLE,Violent
03/31/2020 2:52:00 PM,March,31,2020,Tuesday,14,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 2:45:00 PM,March,31,2020,Tuesday,14,OBSCENITY,OBSCENE MATTER,Public Order
03/31/2020 2:42:00 PM,March,31,2020,Tuesday,14,ASSAULT,SIMPLE,Violent
03/31/2020 2:30:00 PM,March,31,2020,Tuesday,14,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,Violent
03/31/2020 2:28:00 PM,March,31,2020,Tuesday,14,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",Violent
03/31/2020 2:26:00 PM,March,31,2020,Tuesday,14,BATTERY,SIMPLE,Violent
03/31/2020 2:25:00 PM,March,31,2020,Tuesday,14,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 2:23:00 PM,March,31,2020,Tuesday,14,ROBBERY,STRONG ARM - NO WEAPON,Violent
03/31/2020 2:20:00 PM,March,31,2020,Tuesday,14,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,Violent
03/31/2020 2:20:00 PM,March,31,2020,Tuesday,14,ASSAULT,SIMPLE,Violent
03/31/2020 2:19:00 PM,March,31,2020,Tuesday,14,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",Violent
03/31/2020 2:15:00 PM,March,31,2020,Tuesday,14,THEFT,OVER $500,Property
03/31/2020 2:05:00 PM,March,31,2020,Tuesday,14,THEFT,$500 AND UNDER,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,THEFT,OVER $500,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,THEFT,ATTEMPT THEFT,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,BURGLARY,UNLAWFUL ENTRY,Property
03/31/2020 2:00:00 PM,March,31,2020,Tuesday,14,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 1:57:00 PM,March,31,2020,Tuesday,13,THEFT,$500 AND UNDER,Property
03/31/2020 1:55:00 PM,March,31,2020,Tuesday,13,ASSAULT,AGGRAVATED - HANDGUN,Violent
03/31/2020 1:54:00 PM,March,31,2020,Tuesday,13,BATTERY,SIMPLE,Violent
03/31/2020 1:52:00 PM,March,31,2020,Tuesday,13,BATTERY,SIMPLE,Violent
03/31/2020 1:45:00 PM,March,31,2020,Tuesday,13,ASSAULT,AGGRAVATED - HANDGUN,Violent
03/31/2020 1:40:00 PM,March,31,2020,Tuesday,13,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 1:39:00 PM,March,31,2020,Tuesday,13,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 1:38:00 PM,March,31,2020,Tuesday,13,THEFT,OVER $500,Property
03/31/2020 1:30:00 PM,March,31,2020,Tuesday,13,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 1:30:00 PM,March,31,2020,Tuesday,13,BATTERY,SIMPLE,Violent
03/31/2020 1:30:00 PM,March,31,2020,Tuesday,13,THEFT,$500 AND UNDER,Property
03/31/2020 1:30:00 PM,March,31,2020,Tuesday,13,ROBBERY,STRONG ARM - NO WEAPON,Violent
03/31/2020 1:26:00 PM,March,31,2020,Tuesday,13,THEFT,RETAIL THEFT,Property
03/31/2020 1:23:00 PM,March,31,2020,Tuesday,13,ASSAULT,SIMPLE,Violent
03/31/2020 1:22:00 PM,March,31,2020,Tuesday,13,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 1:15:00 PM,March,31,2020,Tuesday,13,THEFT,ATTEMPT THEFT,Property
03/31/2020 1:12:00 PM,March,31,2020,Tuesday,13,CRIMINAL DAMAGE,TO VEHICLE,Property
03/31/2020 1:03:00 PM,March,31,2020,Tuesday,13,ASSAULT,SIMPLE,Violent
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,ASSAULT,SIMPLE,Violent
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,THEFT,$500 AND UNDER,Property
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,BURGLARY,FORCIBLE ENTRY,Property
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,Property
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,THEFT,$500 AND UNDER,Property
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,THEFT,OVER $500,Property
03/31/2020 1:00:00 PM,March,31,2020,Tuesday,13,THEFT,FROM BUILDING,Property
03/31/2020 12:50:00 PM,March,31,2020,Tuesday,12,THEFT,RETAIL THEFT,Property
03/31/2020 12:48:00 PM,March,31,2020,Tuesday,12,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 12:39:00 PM,March,31,2020,Tuesday,12,CRIMINAL DAMAGE,TO PROPERTY,Property
03/31/2020 12:30:00 PM,March,31,2020,Tuesday,12,THEFT,PURSE-SNATCHING,Property
03/31/2020 12:30:00 PM,March,31,2020,Tuesday,12,THEFT,$500 AND UNDER,Property
03/31/2020 12:30:00 PM,March,31,2020,Tuesday,12,OTHER OFFENSE,LICENSE VIOLATION,Other
03/31/2020 12:30:00 PM,March,31,2020,Tuesday,12,THEFT,ATTEMPT THEFT,Property
03/31/2020 12:30:00 PM,March,31,2020,Tuesday,12,THEFT,$500 AND UNDER,Property
03/31/2020 12:24:00 PM,March,31,2020,Tuesday,12,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 12:23:00 PM,March,31,2020,Tuesday,12,BATTERY,DOMESTIC BATTERY SIMPLE,Violent
03/31/2020 12:16:00 PM,March,31,2020,Tuesday,12,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,Property
03/31/2020 12:15:00 PM,March,31,2020,Tuesday,12,CRIMINAL TRESPASS,TO LAND,Property
